V1	V2	V3
336821363	90839835	78594475
358765043	96757988	83714851
379204770	102270529	88484292
401790024	108361712	93754374
518403938	108091311	375405531
554193850	115553790	401323025
567259516	118278085	410784611
591976419	123431754	428683514
509562505	116533932	342243033
533771248	122070328	358502615
555124691	126953735	372844461
573748547	131212900	385353006
669941083	130060363	403032379
713621031	138540258	429309963
730638704	141844018	439547690
762530419	148035380	458733546
627901568	139579314	475025079
644338543	143233170	487460110
662382445	147244237	501110826
683618622	151964931	517176587
747135558	139148422	521399286
759081874	141373334	529736194
773487179	144056215	539789144
795221640	148104096	554956850
815243177	131956761	459162800
847213093	137131471	477168957
857509722	138798102	482968243
888559891	143823940	500456378
781105195	130439882	441270009
802946116	134087185	453608607
809841334	135238645	457503925
841834840	140581369	475578027
711808641	135775420	477146221
733805752	139971304	491891530
747942493	142667846	501367802
769727009	146823179	515970602
645066452	135757575	400425844
670445329	141098691	416179815
690798069	145382030	428813805
708003330	149002966	439493993
672472529	158521057	428126835
630876201	148715609	401644705
692683569	163285378	440994109
735498772	173378149	468252230
